Player,Injury Start Date,Return Date,Injury Duration,Days Since Injury,Teams
 Don Barksdale,12/25/1951,,,,{'Bullets'}
 Max Zaslofsky,12/26/1952,,,,{'Knicks'}
 Jim Baechtold,12/29/1956,,,,{'Knicks'}
 Elgin Baylor,11/26/1961,3/24/1962,118,,{'Lakers'}
 Al Ferrari,11/14/1962,,,,{'Zephyrs'}
 Terry Dischinger,9/11/1965,,,,{'Pistons'}
 Bob Greacen,10/15/1969,10/28/1969,13,,{'Bucks'}
 John Arthurs,12/3/1969,,,,{'Bucks'}
 Guy Rodgers,1/24/1970,,,,{'Bucks'}
 Jim Welch / Poo Welch,9/15/1971,,,,{'Colonels (ABA)'}
 Bobby Washington,10/10/1972,,,,{'Cavaliers'}
 Rick Roberson,11/4/1972,,,,{'Cavaliers'}
 Merv Jackson,11/10/1972,11/28/1972,18,,{'Tams (ABA)'}
 Randy Denton,11/11/1972,12/16/1972,35,,{'Tams (ABA)'}
 John Green (a) / Johnny Green,2/24/1973,,,,{'Kings'}
 Mike D'Antoni,11/17/1973,12/20/1973,33,,{'Kings'}
 Lucius Allen,3/27/1974,2/1/1979,1772,,{'Bucks'}
 Kareem Abdul-Jabbar / Lew Alcindor,10/16/1974,,,,{'Bucks'}
 Dick Cunningham,10/28/1974,,,,{'Bucks'}
 Melvin Davis / Mel Davis,10/28/1974,11/14/1974,17,,{'Knicks'}
 Bernie Fryer,11/7/1974,,,,{'Spirits (ABA)'}
 Ted McClain,11/21/1974,,,,{'Colonels (ABA)'}
 Lou Hudson,12/5/1974,,,,{'Hawks'}
 Mike Barr,1/23/1975,,,,{'Spirits (ABA)'}
 Tom McMillen,10/20/1975,11/11/1975,22,,{'Braves'}
 LeRoy Ellis,10/22/1975,,,,{'76ers'}
 Larry Fogle,10/22/1975,11/24/1975,33,,{'Knicks'}
 Terry Thomas,10/22/1975,,,,{'Pistons'}
 Ron Behagen,1/17/1976,2/16/1976,30,,{'Jazz'}
 Clyde Lee,10/20/1976,,,,{'76ers'}
 Mel Bennett,10/20/1976,,,,{'76ers'}
 Lloyd Walton,10/20/1976,,,,{'Bucks'}
 Chuck Williams / Chuckie Williams (Leon),10/20/1976,,,,{'Cavaliers'}
 Luke Witte,10/20/1976,,,,{'Cavaliers'}
 Geoff Petrie,10/20/1976,,,,{'Hawks'}
 Alfred Beard / Butch Beard,10/20/1976,,,,{'Knicks'}
 Jim Barnett,10/20/1976,,,,{'Knicks'}
 John Mengelt,10/20/1976,,,,{'Pistons'}
 Dean Tolson,10/20/1976,,,,{'Sonics'}
 Dwight Davis,10/20/1976,,,,{'Warriors'}
 Stu Lantz,11/1/1976,,,,{'Lakers'}
 Kevin Restani,11/10/1976,12/11/1976,31,,{'Bucks'}
 Jack Marin,12/15/1976,,,,{'Bulls'}
 Keith Starr,1/12/1977,,,,{'Bulls'}
 Gail Goodrich,1/12/1977,,,,{'Jazz'}
 Leon Benbow,2/2/1977,,,,{'Bulls'}
 Steve Kuberski,9/30/1977,11/24/1977,55,,{'Celtics'}
 Wilson Washington,10/17/1977,,,,{'76ers'}
 Kenny Carr,10/17/1977,,,,{'Lakers'}
 Dean Tolson,10/17/1977,,,,{'Sonics'}
 Ira Terrell,10/17/1977,,,,{'Suns'}
 Kareem Abdul-Jabbar / Lew Alcindor,10/18/1977,,,,{'Lakers'}
 Don Chaney,11/10/1977,,,,{'Lakers'}
 Terry Furlow,11/14/1977,,,,{'Cavaliers'}
 Claude Terry,11/14/1977,11/29/1977,15,,{'Hawks'}
 Jan van Breda Kolff,11/14/1977,,,,{'Nets'}
 James Silas,11/14/1977,,,,{'Spurs'}
 John Drew,11/29/1977,11/18/1981,1450,,{'Hawks'}
 Steve Hawes,11/29/1977,,,,{'Hawks'}
 Jim Ard,1/7/1978,,,,{'Bulls'}
 Fred Boyd / Freddie Boyd,2/1/1978,,,,{'Jazz'}
 Tom Boswell,2/10/1978,3/3/1978,21,,{'Celtics'}
 Scott May,2/17/1978,,,,{'Bulls'}
 Curtis Rowe,2/24/1978,11/1/1978,250,,{'Celtics'}
 Jo Jo White,3/3/1978,,,,{'Celtics'}
 Billy Knight,3/7/1978,,,,{'Braves'}
 Elmore Smith,10/1/1978,2/15/1979,137,,{'Cavaliers'}
 Lucius Allen,10/11/1978,2/1/1979,113,,{'Kings'}
 Bob Gross,10/12/1978,11/7/1979,391,,{'Blazers'}
 Maurice Lucas,10/12/1978,11/21/1980,771,,{'Blazers'}
 George Johnson (Lee),10/12/1978,,,,{'Bucks'}
 Len Kosmalski,10/12/1978,,,,{'Bulls'}
 Tate Armstrong,10/12/1978,2/23/1979,134,,{'Bulls'}
 Curtis Rowe,10/12/1978,11/1/1978,20,,{'Celtics'}
 Jerome Whitehead,10/12/1978,,,,{'Clippers'}
 Geoff Petrie,10/12/1978,,,,{'Hawks'}
 Mike Sojourner,10/12/1978,,,,{'Hawks'}
 John Shumate,10/12/1978,12/28/1978,77,,{'Pistons'}
 E.C. Coleman,10/12/1978,,,,{'Warriors'}
 Wesley Cox,10/12/1978,,,,{'Warriors'}
 Clarence Walker / Foots Walker,10/31/1978,11/14/1978,14,,{'Cavaliers'}
 Marvin Barnes,11/1/1978,,,,{'Celtics'}
 Walt Frazier,11/14/1978,,,,{'Cavaliers'}
 Ben Poquette,1/13/1979,1/23/1979,10,,{'Pistons'}
 John Shumate,1/13/1979,,,,{'Pistons'}
 Nate Archibald,1/14/1979,,,,{'Celtics'}
 Dave Twardzik,2/8/1979,,,,{'Blazers'}
 Doug Collins,2/12/1979,,,,{'76ers'}
 Marvin Webster,2/20/1979,3/1/1979,9,,{'Knicks'}
 Charles Dudley,2/23/1979,,,,{'Bulls'}
 Roger Phegley,2/26/1979,11/11/1983,1719,,{'Bullets'}
 Wally Walker,3/1/1979,,,,{'Sonics'}
 George McGinnis,4/1/1979,,,,{'Nuggets'}
 Butch Lee,10/8/1979,,,,{'Cavaliers'}
 Elmore Smith,10/8/1979,,,,{'Cavaliers'}
 Carl Kilpatrick,10/10/1979,,,,{'Jazz'}
 Sylvester Norris,10/10/1979,,,,{'Spurs'}
 Bayard Forrest,10/10/1979,,,,{'Suns'}
 Clint Richardson,10/11/1979,10/25/1979,14,,{'76ers'}
 Dave Twardzik,10/11/1979,,,,{'Blazers'}
 Maurice Lucas,10/11/1979,11/21/1980,407,,{'Blazers'}
 Mychal Thompson,10/11/1979,,,,{'Blazers'}
 Mitch Kupchak,10/11/1979,11/23/1979,43,,{'Bullets'}
 Steve Malovic,10/11/1979,,,,{'Bullets'}
 Clarence Walker / Foots Walker,10/11/1979,12/20/1983,1531,,{'Cavaliers'}
 Earl Monroe,10/11/1979,,,,{'Knicks'}
 Marvin Webster,10/11/1979,,,,{'Knicks'}
 Bob Elliott,10/11/1979,10/24/1979,13,,{'Nets'}
 John Kuester,10/11/1979,,,,{'Pacers'}
 Len Elmore,10/11/1979,,,,{'Pacers'}
 Earl Evans,10/11/1979,3/5/1980,146,,{'Pistons'}
 Allen Leavell,10/11/1979,,,,{'Rockets'}
 Paul Mokeski,10/11/1979,,,,{'Rockets'}
 Phil Smith,10/11/1979,4/6/1982,908,,{'Warriors'}
 Cliff Robinson,10/24/1979,,,,{'Nets'}
 Bernard King,11/11/1979,12/16/1979,35,,{'Jazz'}
 Mike Green,11/21/1979,,,,{'Kings'}
 Greg Kelser,12/4/1979,1/18/1980,45,,{'Pistons'}
 Tom Henderson,12/7/1979,,,,{'Rockets'}
 Tom Abernethy,12/15/1979,1/3/1980,19,,{'Warriors'}
 Ron Lee,12/21/1979,,,,{'Hawks'}
 Michael Russell / Campy Russell,1/22/1980,,,,{'Cavaliers'}
 Steve Malovic,1/30/1980,,,,{'Clippers'}
 Wiley Peck,2/22/1980,,,,{'Spurs'}
 David Thompson (O'Neil),2/28/1980,,,,{'Nuggets'}
 Sylvester Williams / Sly Williams,3/5/1980,1/26/1981,327,,{'Knicks'}
 Bob McAdoo,3/5/1980,12/18/1980,288,,{'Pistons'}
 Kent Benson,3/5/1980,3/14/1980,9,,{'Pistons'}
 Earl Evans,3/14/1980,,,,{'Pistons'}
 Adrian Dantley,3/22/1980,,,,{'Jazz'}
 Bill Walton,10/8/1980,2/28/1985,1604,,{'Clippers'}
 Mel Bennett,10/8/1980,,,,{'Kings'}
 James Ray (b),10/8/1980,3/17/1981,160,,{'Nuggets'}
 Bob McAdoo,10/8/1980,12/18/1980,71,,{'Pistons'}
 Don Buse,10/8/1980,,,,{'Suns'}
 Andrew Toney,10/9/1980,1/23/1987,2297,,{'76ers'}
 Dave Twardzik,10/9/1980,,,,{'Blazers'}
 Larry Steele,10/9/1980,,,,{'Blazers'}
 Ronnie Lester,10/9/1980,10/23/1980,14,,{'Bulls'}
 Tom Burleson,10/9/1980,11/7/1980,29,,{'Hawks'}
 Wayne Rollins / Tree Rollins,10/9/1980,1/13/1990,3383,,{'Hawks'}
 Hollis Copeland,10/9/1980,,,,{'Knicks'}
 Toby Knight,10/9/1980,12/26/1981,443,,{'Knicks'}
 Myles Patrick,10/9/1980,,,,{'Lakers'}
 Tony Jackson,10/9/1980,11/5/1980,27,,{'Lakers'}
 Ronnie Lester,11/3/1980,3/6/1981,123,,{'Bulls'}
 Clarence Carter / Butch Carter,11/5/1980,,,,{'Lakers'}
 John Williamson,11/6/1980,,,,{'Bullets'}
 Wayne Rollins / Tree Rollins,11/7/1980,1/13/1990,3354,,{'Hawks'}
 John Duren,11/10/1980,1/18/1981,69,,{'Jazz'}
 Doug Collins,11/21/1980,,,,{'76ers'}
 M.L. Carr,12/5/1980,,,,{'Celtics'}
 John Long,12/5/1980,1/2/1981,28,,{'Pistons'}
 Calvin Garrett,12/9/1980,,,,{'Rockets'}
 James Ray (b),12/10/1980,3/17/1981,97,,{'Nuggets'}
 John Roche,12/10/1980,,,,{'Nuggets'}
 Bob Dandridge,12/16/1980,1/28/1981,43,,{'Bullets'}
 Greg Kelser,12/18/1980,,,,{'Pistons'}
 John Long,12/21/1980,1/2/1981,12,,{'Pistons'}
 Bob McAdoo,12/29/1980,4/16/1983,838,,{'Pistons'}
 Ralph Drollinger,1/2/1981,,,,{'Mavericks'}
 Rick Mahorn,1/15/1981,11/30/1994,5067,,{'Bullets'}
 Sylvester Williams / Sly Williams,1/15/1981,1/26/1981,11,,{'Knicks'}
 Rickey Green,1/18/1981,1/26/1990,3295,,{'Jazz'}
 Kent Benson,1/26/1981,12/20/1982,693,,{'Pistons'}
 Austin Carr,1/28/1981,,,,{'Bullets'}
 James McElroy / Jim McElroy,2/6/1981,,,,{'Hawks'}
 Kevin Restani,2/8/1981,,,,{'Spurs'}
 Scott May,3/6/1981,,,,{'Bulls'}
 Rory Sparrow,3/13/1981,,,,{'Nets'}
 Cedrick Hordges,3/17/1981,,,,{'Nuggets'}
 Junior Bridgeman,11/16/1981,11/25/1981,9,,{'Bucks'}
 Howard Wood,12/2/1981,,,,{'Jazz'}
 Edgar Jones,2/7/1982,,,,{'Pistons'}
 Junior Bridgeman,3/17/1982,,,,{'Bucks'}
 Mark Radford,4/6/1982,,,,{'Sonics'}
 Mike O'Koren,10/22/1982,,,,{'Nets'}
 Corny Thompson,10/26/1982,12/27/1982,62,,{'Mavericks'}
 Charlie Criss,10/28/1982,11/10/1982,13,,{'Bucks'}
 Kevin Grevey,10/28/1982,,,,{'Bullets'}
 James Silas,10/28/1982,,,,{'Cavaliers'}
 Richard Washington,10/28/1982,,,,{'Cavaliers'}
 Michael Russell / Campy Russell,10/28/1982,,,,{'Knicks'}
 Toby Knight,10/28/1982,,,,{'Knicks'}
 Tom Owens,10/28/1982,11/24/1982,27,,{'Pistons'}
 Craig Dykema,10/28/1982,,,,{'Suns'}
 Derek Smith,10/28/1982,11/10/1982,13,,{'Warriors'}
 Jeff Jones,10/28/1982,,,,{'Warriors'}
 Mike Gale,10/28/1982,,,,{'Warriors'}
 Robert Smith (Leroy),10/29/1982,,,,{'Clippers'}
 Swen Nater,10/29/1982,,,,{'Clippers'}
 Clay Johnson,10/29/1982,11/8/1982,10,,{'Lakers'}
 Harvey Catchings,11/10/1982,,,,{'Bucks'}
 Joe Hassett,11/10/1982,,,,{'Warriors'}
 Kelly Tripucka,11/26/1982,1/10/1983,45,,{'Pistons'}
 Kent Benson,11/28/1982,12/20/1982,22,,{'Pistons'}
 Steve Mix,12/10/1982,1/6/1983,27,,{'Bucks'}
 Brian Winters,12/26/1982,2/1/1983,37,,{'Bucks'}
 Rich Kelley,12/29/1982,,,,{'Nuggets'}
 Darnell Valentine,1/7/1983,3/3/1983,55,,{'Blazers'}
 Ed Rains,1/18/1983,,,,{'Spurs'}
 Charlie Criss,2/1/1983,,,,{'Bucks'}
 Joel Kramer,2/7/1983,,,,{'Suns'}
 Ed Jordan / Eddie Jordan,2/16/1983,3/8/1983,20,,{'Lakers'}
 Kent Benson,2/17/1983,1/30/1988,1808,,{'Pistons'}
 Vince Taylor,2/23/1983,,,,{'Knicks'}
 James Edwards,2/25/1983,4/1/1983,35,,{'Suns'}
 Orlando Woolridge,3/2/1983,12/14/1989,2479,,{'Bulls'}
 Pete Verhoeven,3/3/1983,,,,{'Blazers'}
 Ronnie Lester,3/6/1983,,,,{'Bulls'}
 Darnell Valentine,3/12/1983,3/22/1983,10,,{'Blazers'}
 Otis Birdsong,3/23/1983,4/15/1983,23,,{'Nets'}
 David Thirdkill,4/1/1983,,,,{'Suns'}
 Ed Jordan / Eddie Jordan,4/16/1983,,,,{'Lakers'}
 Charles Pittman,10/25/1983,11/16/1983,22,,{'Suns'}
 Winfred King,10/26/1983,,,,{'Celtics'}
 Clay Johnson,10/26/1983,1/24/1984,90,,{'Lakers'}
 Kurt Rambis,10/26/1983,1/7/1984,73,,{'Lakers'}
 Mitch Kupchak,10/26/1983,11/18/1983,23,,{'Lakers'}
 Eric Fernsten,10/27/1983,12/20/1983,54,,{'Knicks'}
 Mike Woodson,10/28/1983,11/22/1983,25,,{'Kings'}
 Ron Brewer,10/31/1983,1/10/1984,71,,{'Warriors'}
 Clarence Walker / Foots Walker,11/1/1983,12/20/1983,49,,{'Nets'}
 Charlie Criss,11/8/1983,,,,{'Bucks'}
 Armond Hill,11/15/1983,,,,{'Hawks'}
 James Edwards,11/16/1983,11/24/1983,8,,{'Suns'}
 Paul Westphal,11/24/1983,12/4/1983,10,,{'Suns'}
 Ron Brewer,12/1/1983,1/10/1984,40,,{'Warriors'}
 Rick Robey,12/4/1983,,,,{'Suns'}
 Darnell Valentine,1/1/1984,2/5/1984,35,,{'Blazers'}
 Johnny Moore,1/3/1984,,,,{'Spurs'}
 Larry Spriggs,1/7/1984,3/2/1984,55,,{'Lakers'}
 Paul Westphal,1/10/1984,2/1/1984,22,,{'Suns'}
 Eric Floyd / Sleepy Floyd,1/10/1984,1/19/1984,9,,{'Warriors'}
 Clay Johnson,1/13/1984,1/24/1984,11,,{'Sonics'}
 Russell Cross,1/19/1984,,,,{'Warriors'}
 Fred Brown,1/24/1984,2/13/1984,20,,{'Sonics'}
 Leo Rautins,2/2/1984,,,,{'76ers'}
 Clay Johnson,2/13/1984,,,,{'Sonics'}
 Herb Williams,2/18/1984,3/9/1984,20,,{'Pacers'}
 Calvin Garrett,3/2/1984,,,,{'Lakers'}
 Joe Meriweather / Joe C. Meriweather,3/31/1984,,,,{'Kings'}
 Ed Nealy,10/12/1984,,,,{'Kings'}
 Earl Jones,10/23/1984,,,,{'Lakers'}
 Clarence Walker / Foots Walker,10/23/1984,,,,{'Nets'}
 Ricky Pierce,10/25/1984,12/17/1984,53,,{'Bucks'}
 Lonnie Shelton,10/25/1984,12/10/1985,411,,{'Cavaliers'}
 Paul Thompson,10/25/1984,11/5/1984,11,,{'Cavaliers'}
 Albert King,10/25/1984,,,,{'Nets'}
 Clark Kellogg,10/25/1984,11/9/1984,15,,{'Pacers'}
 John Schweitz,10/25/1984,,,,{'Sonics'}
 Reggie King,10/25/1984,,,,{'Sonics'}
 Dan Roundfield,11/6/1984,11/20/1984,14,,{'Pistons'}
 Ron Anderson,11/7/1984,1/28/1985,82,,{'Cavaliers'}
 Eddie Lee Wilkins,11/8/1984,11/26/1984,18,,{'Knicks'}
 Kelly Tripucka,11/24/1984,,,,{'Pistons'}
 Larry Nance (Sr.),11/24/1984,3/29/1985,125,,{'Suns'}
 Rod Foster,11/24/1984,,,,{'Suns'}
 Bill Cartwright,11/26/1984,12/28/1991,2588,,{'Knicks'}
 Earl Jones,11/27/1984,,,,{'Lakers'}
 Albert King,12/12/1984,,,,{'Nets'}
 Larry Drew (I),12/14/1984,,,,{'Kings'}
 Edgar Jones,12/21/1984,,,,{'Cavaliers'}
 Otis Birdsong,12/27/1984,,,,{'Nets'}
 Allen Leavell,12/29/1984,,,,{'Rockets'}
 Bill Garnett,1/10/1985,,,,{'Pacers'}
 Caldwell Jones,1/14/1985,,,,{'Bulls'}
 Mitchell Anderson / J.J. Anderson,2/7/1985,,,,{'Jazz'}
 Mike Dunleavy (Sr.),2/11/1985,,,,{'Bucks'}
 Frank Johnson,2/13/1985,,,,{'Bullets'}
 Bill Walton,2/17/1985,2/28/1985,11,,{'Clippers'}
 Mike O'Koren,2/18/1985,,,,{'Nets'}
 Cedric Maxwell,2/20/1985,3/21/1985,29,,{'Celtics'}
 Jay Murphy,3/2/1985,,,,{'Clippers'}
 Larry Nance (Sr.),3/19/1985,3/29/1985,10,,{'Suns'}
 M.L. Carr,3/21/1985,,,,{'Celtics'}
 Otis Birdsong,3/23/1985,,,,{'Nets'}
 Bill Garnett,3/25/1985,,,,{'Pacers'}
 Walter Davis (P.),3/27/1985,,,,{'Suns'}
 Andrew Toney,4/8/1985,1/23/1987,655,,{'76ers'}
 Kenny Fields,4/11/1985,,,,{'Bucks'}
 Tim McCormick,10/8/1985,11/6/1985,29,,{'Sonics'}
 Charles Davis,10/22/1985,11/11/1985,20,,{'Bucks'}
 Keith Lee,10/22/1985,12/14/1985,53,,{'Cavaliers'}
 Lonnie Shelton,10/22/1985,12/10/1985,49,,{'Cavaliers'}
 Bill Cartwright,10/24/1985,12/28/1991,2256,,{'Knicks'}
 Ronnie Lester,10/24/1985,,,,{'Lakers'}
 Nick Vanos,10/24/1985,,,,{'Suns'}
 Quintin Dailey,10/25/1985,11/18/1985,24,,{'Bulls'}
 Tyrone Corbin,10/28/1985,1/7/1997,4089,,{'Spurs'}
 Bernard Thompson,10/29/1985,12/10/1985,42,,{'Suns'}
 Glenn Rivers / Doc Rivers,10/31/1985,12/4/1985,34,,{'Hawks'}
 Michael Jordan (Jeffrey),11/5/1985,3/14/1986,129,,{'Bulls'}
 Byron Scott,11/12/1985,11/22/1985,10,,{'Lakers'}
 Sedale Threatt,12/4/1985,12/16/1985,12,,{'76ers'}
 Voise Winters,12/5/1985,,,,{'76ers'}
 Otis Thorpe,12/17/1985,12/7/1999,5103,,{'Kings'}
 Charlie Sitton,1/3/1986,,,,{'Mavericks'}
 Derek Smith,1/5/1986,1/18/1988,743,,{'Clippers'}
 Jeff Cook,2/15/1986,4/10/1986,54,,{'Jazz'}
 Jawann Oldham,2/22/1986,3/5/1986,11,,{'Bulls'}
 Earl Jones,2/27/1986,,,,{'Bucks'}
 Dave Corzine,3/5/1986,11/15/1990,1716,,{'Bulls'}
 Jawann Oldham,3/14/1986,4/13/1986,30,,{'Bulls'}
 Moses Malone,4/5/1986,10/8/1995,3473,,{'76ers'}
 Derrick Rowland,4/9/1986,,,,{'Bucks'}
 Franklin Edwards,9/13/1986,1/15/1987,124,,{'Kings'}
 William Bedford,10/12/1986,11/28/1986,47,,{'Suns'}
 Chris Engler,10/30/1986,,,,{'Bucks'}
 Ennis Whatley,10/30/1986,1/29/1992,1917,,{'Bullets'}
 Jay Vincent,10/30/1986,,,,{'Bullets'}
 Gene Banks,10/30/1986,12/8/1986,39,,{'Bulls'}
 Scott Wedman,10/30/1986,11/25/1986,26,,{'Celtics'}
 Antoine Carr,10/30/1986,2/25/1999,4501,,{'Hawks'}
 Ralph Sampson,10/30/1986,11/16/1986,17,,{'Rockets'}
 Nate McMillan,10/30/1986,11/21/1995,3309,,{'Sonics'}
 Jawann Oldham,10/30/1986,,,,{'Knicks'}
