Team,Actual W/L%,Predicted W/L%,Year
Philadelphia 76ers*,0.646,0.6817772971887299,1990
Boston Celtics*,0.634,0.6490330541959255,1990
New York Knicks*,0.549,0.5596550773030962,1990
Washington Bullets,0.378,0.4342070003265751,1990
Miami Heat,0.22,0.17583029315087736,1990
New Jersey Nets,0.207,0.23442802734693718,1990
Detroit Pistons*,0.72,0.704342172537586,1990
Chicago Bulls*,0.671,0.6215753514006259,1990
Milwaukee Bucks*,0.537,0.4784904759396663,1990
Cleveland Cavaliers*,0.512,0.4922453274230149,1990
Indiana Pacers*,0.512,0.516970955689459,1990
Atlanta Hawks,0.5,0.5417287550756392,1990
Orlando Magic,0.22,0.21185542863141574,1990
San Antonio Spurs*,0.683,0.6119703623153715,1990
Utah Jazz*,0.671,0.6559830542492775,1990
Dallas Mavericks*,0.573,0.48696030126166256,1990
Denver Nuggets*,0.524,0.5510999389680986,1990
Houston Rockets*,0.5,0.5395576255414711,1990
Minnesota Timberwolves,0.268,0.33918994011655323,1990
Charlotte Hornets,0.232,0.22379278018001017,1990
Los Angeles Lakers*,0.768,0.7268526069892913,1990
Portland Trail Blazers*,0.72,0.7096529241050824,1990
Phoenix Suns*,0.659,0.7401857418879099,1990
Seattle SuperSonics,0.5,0.5249873422142282,1990
Golden State Warriors,0.451,0.3988758577952888,1990
Los Angeles Clippers,0.366,0.37455299352558047,1990
Sacramento Kings,0.28,0.31519931464061157,1990
Boston Celtics*,0.683,0.688539859001486,1991
Philadelphia 76ers*,0.537,0.49769657914699683,1991
New York Knicks*,0.476,0.49448129639934724,1991
Washington Bullets,0.366,0.34577587634365325,1991
New Jersey Nets,0.317,0.36176926626462924,1991
Miami Heat,0.293,0.31929912832904617,1991
Chicago Bulls*,0.744,0.7744305213532963,1991
Detroit Pistons*,0.61,0.589260793500638,1991
Milwaukee Bucks*,0.585,0.5714335461903,1991
Atlanta Hawks*,0.524,0.5317958848709756,1991
Indiana Pacers*,0.5,0.4984559798786,1991
Cleveland Cavaliers,0.402,0.41772209650594916,1991
Charlotte Hornets,0.317,0.3406251013559689,1991
San Antonio Spurs*,0.671,0.6355625141510572,1991
Utah Jazz*,0.659,0.5940376168980874,1991
Houston Rockets*,0.634,0.6068360279315644,1991
Orlando Magic,0.378,0.381310588391804,1991
Minnesota Timberwolves,0.354,0.37432845880281274,1991
Dallas Mavericks,0.341,0.351024369899182,1991
Denver Nuggets,0.244,0.20032585988422713,1991
Portland Trail Blazers*,0.768,0.7699238832291175,1991
Los Angeles Lakers*,0.707,0.6923575131694101,1991
Phoenix Suns*,0.671,0.7010411542909575,1991
Golden State Warriors*,0.537,0.5625073255919597,1991
Seattle SuperSonics*,0.5,0.5336277263439648,1991
Los Angeles Clippers,0.378,0.38867696116709477,1991
Sacramento Kings,0.305,0.27815407110786783,1991
Boston Celtics*,0.622,0.6089715866830672,1992
New York Knicks*,0.622,0.6217341509161772,1992
New Jersey Nets*,0.488,0.45252445003001196,1992
Miami Heat*,0.463,0.37428809471529656,1992
Philadelphia 76ers,0.427,0.45665356599340545,1992
Washington Bullets,0.305,0.35638255389846163,1992
Orlando Magic,0.256,0.2936434152402217,1992
Chicago Bulls*,0.817,0.8281483394969149,1992
Cleveland Cavaliers*,0.695,0.673322852910873,1992
Detroit Pistons*,0.585,0.5787826675547846,1992
Indiana Pacers*,0.488,0.5544318280892193,1992
Atlanta Hawks,0.463,0.470976273006715,1992
Milwaukee Bucks,0.378,0.4581840563365914,1992
Charlotte Hornets,0.378,0.3844589878557667,1992
Utah Jazz*,0.671,0.6692015283116587,1992
San Antonio Spurs*,0.573,0.5786050727563635,1992
Houston Rockets,0.512,0.42980030911668016,1992
Denver Nuggets,0.293,0.2569306569462703,1992
Dallas Mavericks,0.268,0.2606681669962583,1992
Minnesota Timberwolves,0.183,0.27628619581357344,1992
Portland Trail Blazers*,0.695,0.7189750371554688,1992
Golden State Warriors*,0.671,0.6106419041874923,1992
Phoenix Suns*,0.646,0.6797179853580453,1992
Seattle SuperSonics*,0.573,0.5641213211686306,1992
Los Angeles Clippers*,0.549,0.5431941652479015,1992
